id,label,classname,gender,padoption
1613,1613,2A,M,0.875453043
1805,1805,4B,M,0.195351646
1861,1861,2B,F,0.428378205
1465,1465,5B,F,0.41221056
1863,1863,2B,M,0.230621314
1865,1865,4B,M,0.533052089
1592,1592,5B,M,0.613403818
1911,1911,2A,M,0.832035805
1913,1913,2A,F,0.631953065
1912,1912,1B,M,0.269801075
1917,1917,2A,F,0.860884341
1916,1916,2A,M,0.030183185
1483,1483,5A,F,0.797816101
1684,1684,1B,F,0.745904407
1430,1430,5B,M,0.812378989
1625,1625,2A,M,0.892100714
1461,1461,5A,F,0.460698223
1628,1628,2A,M,0.427905985
1457,1457,5A,F,0.916249864
1748,1748,3A,M,0.432390815
1451,1451,5A,F,0.782679944
1452,1452,5A,M,0.085212699
1453,1453,5A,F,0.926679168
1574,1574,3B,F,0.247422022
1745,1745,Teachers,Unknown,0.340317033
1746,1746,Teachers,Unknown,0.25322217
1516,1516,5A,M,0.370233059
1511,1511,5A,M,0.815791388
1741,1741,3A,M,0.764348657
1743,1743,2B,F,0.705820835
1426,1426,5B,M,0.785764397
1847,1847,4B,M,0.748952731
1459,1459,5A,M,0.972299092
1648,1648,2A,F,0.858188896
1898,1898,2B,F,0.205448237
1895,1895,4B,F,0.569537119
1897,1897,2B,F,0.858282378
1890,1890,2B,M,0.446917555
1519,1519,4A,F,0.831160257
1892,1892,4B,M,0.321883597
1815,1815,4A,F,0.20512904
1618,1618,4A,Unknown,0.743678978
1616,1616,2A,F,0.867591198
1617,1617,2A,F,0.211093832
1818,1818,4B,M,0.741670297
1819,1819,4B,F,0.723561762
1696,1696,1B,F,0.811564119
1649,1649,2A,M,0.443752077
1471,1471,5B,M,0.300325768
1443,1443,5B,F,0.664425714
1441,1441,5B,M,0.610375757
1824,1824,Teachers,Unknown,0.434704045
1757,1757,1A,F,0.716722122
1562,1562,3B,F,0.100810021
1563,1563,5B,F,0.094942503
1753,1753,Teachers,Unknown,0.564289288
1752,1752,1A,M,0.585179009
1751,1751,5A,F,0.084935695
1567,1567,3B,M,0.007909921
1858,1858,2B,F,0.578321568
1528,1528,4A,M,0.273131594
1859,1859,3A,F,0.736045506
1475,1475,5B,F,0.351882185
1688,1688,1B,M,0.243975336
1889,1889,2B,F,0.624073795
1888,1888,4B,M,0.19212342
1887,1887,2B,M,0.387850201
1885,1885,4B,M,0.376526038
1883,1883,2B,M,0.215497479
1880,1880,4B,M,0.304754673
1807,1807,4B,F,0.765604479
1919,1919,2A,M,0.405841767
1866,1866,4B,M,0.78867171
1761,1761,1A,M,0.307570583
1803,1803,4B,M,0.979557277
1802,1802,4B,M,0.223769967
1801,1801,3A,F,0.35116466
1594,1594,3B,M,0.026569716
1601,1601,4B,F,0.113448497
1603,1603,2A,F,0.261982318
1604,1604,2A,F,0.131837728
1809,1809,3A,F,0.553386743
1606,1606,2A,F,0.375098408
1681,1681,1B,M,0.703862723
1680,1680,1B,F,0.087388052
1768,1768,1A,F,0.569373936
1578,1578,5B,M,0.909483952
1685,1685,3B,F,0.122986864
1477,1477,5A,M,0.670022921
1687,1687,1B,F,0.408938766
1564,1564,3B,M,0.435243128
1763,1763,3A,M,0.376085897
1760,1760,1A,F,0.807426366
1479,1479,5A,M,0.767376033
1766,1766,1A,M,0.26219046
1852,1852,Teachers,Unknown,0.733680279
1764,1764,1A,M,0.953257318
1765,1765,1B,F,0.843789985
