IATA,Ciudad,Pais
LIT,ARKANSAS,ESTADOS UNIDOS
LRD,TEXAS,ESTADOS UNIDOS
MAD,MADRID,ESPANA
MAF,TEXAS,ESTADOS UNIDOS
MBJ,MONTEJO BAY,JAMAICA
MCI,KANSAS CITY,ESTADOS UNIDOS
MCO,ORLANDO,ESTADOS UNIDOS
MDE,RIONEGRO - ANTIOQUIA,COLOMBIA
MEM,MEMPHIS,ESTADOS UNIDOS
MEX,MEXICO,MEXICO
MFE,TEXAS,ESTADOS UNIDOS
MIA,MIAMI,ESTADOS UNIDOS
MKE,WISCONSIN,ESTADOS UNIDOS
MOB,MOBILE,ESTADOS UNIDOS
MSP,MINNEAPOLIS,ESTADOS UNIDOS
MSY,NEW ORLEANS,ESTADOS UNIDOS
MTY,MONTERREY,MEXICO
MXP,MILANO,ITALIA
NAS,NASSAU,BAHAMAS
NRT,TOKIO,JAPON
OKC,OKLAHOMA,ESTADOS UNIDOS
OMA,NEBRASKA,ESTADOS UNIDOS
ONT,CALIFORNIA,ESTADOS UNIDOS
ORD,CHICAGO,ESTADOS UNIDOS
ORF,NORFOLKVA BEACH,ESTADOS UNIDOS
PAP,PUERTO PRINCIPE,HAITI
PDX,OREGON,ESTADOS UNIDOS
PHL,PHILADELPHIA,ESTADOS UNIDOS
PHX,ARIZONA,ESTADOS UNIDOS
PIA,PEORIA,ESTADOS UNIDOS
PIT,PITTSBURGH,ESTADOS UNIDOS
PNS,PENSACOLA,ESTADOS UNIDOS
PSP,CALIFORNIA,ESTADOS UNIDOS
PUJ,PUNTA CANA,REPUBLICA DOMINICANA
RDU,RALEIGH,ESTADOS UNIDOS
RIC,RICHMOND,ESTADOS UNIDOS
RNO,RENO,ESTADOS UNIDOS
ROW,NUEVO MEXICO,ESTADOS UNIDOS
SAN,SAN DIEGO,ESTADOS UNIDOS
SAP,SAN PEDRO SULA,HONDURAS
SAT,SAN ANTONIO,ESTADOS UNIDOS
SCL,SANTIAGO,CHILE
SDF,KENTUCKY,ESTADOS UNIDOS
SDQ,SANTO DOMINGO,REPUBLICA DOMINICANA
SEA,SEATTLE,ESTADOS UNIDOS
SFO,SAN FRANCISCO,ESTADOS UNIDOS
SGF,SPRINGFIELD,ESTADOS UNIDOS
SHV,SHERPORT,ESTADOS UNIDOS
SJD,SAN JOSE DEL CABO,MEXICO
SJU,SAN JUAN,PUERTO RICO
SMF,SACRAMENTO,ESTADOS UNIDOS
SNA,SANTA ANA,ESTADOS UNIDOS
SPS,PISCO,PERU
STL,SAINT LOUIS,ESTADOS UNIDOS
SXM,SAN MARTIN,ANTILLAS HOLANDESAS
SYD,SYDNEY,AUSTRALIA
TLH,FLORIDA,ESTADOS UNIDOS
TPA,TAMPA,ESTADOS UNIDOS
TUL,OKLAHOMA,ESTADOS UNIDOS
TUS,ARIZONA,ESTADOS UNIDOS
VIE,VIENNA,AUSTRIA
XNA,ARKANSAS,ESTADOS UNIDOS
YVR,VANCOUVER,CANADA
YYZ,TORONTO,CANADA
ZRH,ZURICH,SUIZA
BIS,DAKOTA DEL NORTE,ESTADOS UNIDOS
BSB,BRASILIA,BRASIL
BZE,BELIZE,BELIZE
CCS,CARACAS,VENEZUELA
CZM,COZUMEL,MEXICO
FCO,ROMA,ITALIA
GEO,GEORGETOWN,GUYANA
LPB,LA PAZ,BOLIVIA
MGA,MANAGUA,NICARAGUA
MHH,MARSH HARBOUR,BAHAMAS
MLI,ILLINOIS,ESTADOS UNIDOS
PBI,WEST PALM BECH,ESTADOS UNIDOS
PEK,BEIJING,CHINA
POP,PUERTO PLATA,REPUBLICA DOMINICANA
POS,PUERTO ESPANA,TRINIDAD Y TOBAGO
PVG,SHANGHAI,CHINA
SAL,SAN SALVADOR,EL SALVADOR
TXL,BERLIN,ALEMANIA
VVI,VIRU VIRU,BOLIVIA
YEG,EDMONTON,CANADA
YYW,ARMSTRONG,CANADA
ARN,ESTOCOLMO,SUECIA
GUA,GUATEMALA,GUATEMALA
HAV,HABANA,CUBA
MAO,MANAUS,BRASIL
SAV,GEORGIA,ESTADOS UNIDOS
SJO,SAN JOSE,COSTA RICA
TGU,TEGUCIGALPA,HONDURAS
YUL,MONTREAL,CANADA
YYC,CALGARY,CANADA
ANU,ANTIGUA,VENEZUELA
GIG,RIO DE JANEIRO,BRASIL
MVD,MONTEVIDEO,URUGUAY
SKB,SAINT KITTS,SAINT KITTS
AMS,AMSTERDAM,HOLANDA
CAE,CAROLINA DEL SUR,ESTADOS UNIDOS
CMI,CHAMPAIGN,ESTADOS UNIDOS
CUR,CURACAO,ANTILLAS HOLANDESAS
CUU,CHIHUAHUA,MEXICO
DAY,DAYTON,ESTADOS UNIDOS
DXB,DUBAI,EMIRATOS ARABE
FAR,FARGO,ESTADOS UNIDOS
FSD,STOK FALLS,ESTADOS UNIDOS
JAN,JACKSON,ESTADOS UNIDOS
LEX,KENTUCKY,ESTADOS UNIDOS
MID,MERIDA,MEXICO
REC,RECIFE,BRASIL
RSW,FLORIDA,ESTADOS UNIDOS
TXK,TEXARKANA,ESTADOS UNIDOS
VRA,VARADERO,CUBA
ACT,TEXAS,ESTADOS UNIDOS
AGP,MALAGA,ESPANA
CNF,BELO HORIZONTE,BRASIL
CPH,COPENHAGEN,DINAMARCA
GPT,GULPORT,ESTADOS UNIDOS
MAR,MARACAIBO,VENEZUELA
MHK,KANSAS CITY,ESTADOS UNIDOS
VGO,VIGO,ESPANA
ACE,ARECIFE,ESPANA
BRU,BRUSELAS,BELGICA
MRS,MARSELLA,FRANCIA
PTY,PANAMA,PANAMA
SVO,MOSCU,RUSIA
HND,LAS VEGAS,ESTADOS UNIDOS
YAM,SAULT STE,CANADA
YGK,KINGSTON,CANADA
YHM,HAMILTON,CANADA
YLW,KELOWNA,CANADA
YMM,FORT MCMURRAY,CANADA
YOW,OTAWA,CANADA
YQB,QUEBEC,CANADA
YQG,WINDSOR,CANADA
YQM,MONCTON,CANADA
YQR,REGINA,CANADA
YQT,THUNDER BAY,CANADA
YSB,ONTARIO,CANADA
YSJ,SAINT JHON,CANADA
YTS,TIMMINS,CANADA
YWG,WINNIPEG,CANADA
YXE,SASKATOON,CANADA
YYB,NORTH BAY,CANADA
YYG,CHARLOTTETOWN,CANADA
YYJ,VICTORIA,CANADA
YYT,ST JONN,CANADA
TLV,TEL AVIV,ISRAEL
YFC,NEW BRUNSWICK,CANADA
YDF,DEER LAKE,CANADA
YHZ,ENFIELD,CANADA
SYR,SYRACUSE,ESTADOS UNIDOS
DUB,DUBLIN,IRLANDA
MUC,VIENNA,AUSTRALIA
TPE,TAIPEI,TAIWAN
ATH,ATENAS,GRECIA
BUD,BUDAPEST,HUNGRIA
GLA,GLASGOW,INGLATERRA
GVA,GENOVA,ITALIA
KEF,KEFLAVIK,ISLANDIA
LGW,SHANWIK,INGLATERRA
PRG,PRAGA,NUEVA ZELANDA
VCE,VENECIA,ITALIA
WAW,WARSAW,POLONIA
BOM,MUMBAI,INDIA
ALC,ALICANTE,ESPANA
IBZ,EIVISSA,ESPANA
LCG,LA CORUÐA,ESPANA
OPO,PORTO,PORTUGAL
PMI,MADRID,ESPANA
TFN,TENERIFE,ESPANA
VLC,VALENCIA,ESPANA
FUE,FUERTEVENTLA,ESPANA
IST,ESTAMBUL,TURQUIA
AMM,AMM,JORDAN
BEY,BEIRUT,LIBANO
BHX,BIRMINGHAN,INGLATERRA
BLL,BILLUND,DINAMARCA
BLQ,BOLOGNA,ITALIA
BOD,BORDEAUX,FRANCIA
BSL,BASEL,SUIZA
CMN,CASABLANCA,MARRUECOS
DKR,DAKAR,SENEGAL
HAJ,HANNOVER,ALEMANIA
HAM,HAMBURG,ALEMANIA
JNB,JOHANNESBURG,SURAFRICA
LUX,LUXEMBURGO,LUXEMBURGO
LYS,LYON,FRANCIA
NCE,NICE,FRANCIA
OSL,OSLO,NORUEGA
RIX,RIGA,LATVIA
RUH,RIYADH,ARABIA SAUDI
TLS,TOULOUSE,FRANCIA
ZAG,ZAGREB,CROACIA
NAP,NAPOLES,ITALIA
ABJ,ABIDJAN,COSTA DE MARFIL
ABZ,ABENDEEN,INGLATERRA
ACC,ACCRA,GHANA
COO,COTONU,BENIN
SOU,SOUTHAMTON,INGLATERRA
CWL,CARDIFF,INGLATERRA
BIQ,BIARRITZ,FRANCIA
ACA,ACAPULCO,MEXICO
BJX,LEON,MEXICO
CUL,CULIACAN,MEXICO
OAX,OAXACA,MEXICO
TAM,TAMPICO,MEXICO
TIJ,TIGUANA,MEXICO
TRC,TORREON,MEXICO
VSA,VILLA HERMOSA,MEXICO
CTG,CARTAGENA,COLOMBIA
TLC,TOLUCA,MEXICO
SFB,FLORIDA,ESTADOS UNIDOS
OPF,FLORIDA,ESTADOS UNIDOS
ADZ,SAN ANDRES - ISLA,COLOMBIA
AXM,ARMENIA,COLOMBIA
BUN,BUENAVENTURA,COLOMBIA
PAC,PAITILLA,PANAMA
TLU,TOLU,COLOMBIA
BGA,BUCARAMANGA,COLOMBIA
GYE,GUAYAQUIL,ECUADOR
VUP,VALLEDUPAR,COLOMBIA
CUC,CUCUTA,COLOMBIA
EOH,MEDELLIN,COLOMBIA
TCO,TUMACO,COLOMBIA
UIO,QUITO,ECUADOR
PAZ,SANTA MARIA,PORTUGAL
ACD,ACANDI,COLOMBIA
APO,CAREPA,COLOMBIA
BSC,BAHIA SOLANO,COLOMBIA
CAQ,CAUCASIA,COLOMBIA
CZU,COROZAL,COLOMBIA
EBG,EL BAGRE,COLOMBIA
MTR,MONTERIA,COLOMBIA
MZL,MANIZALES,COLOMBIA
PEI,PEREIRA,COLOMBIA
PIM,LA PRIMAVERA,COLOMBIA
TME,TAME,COLOMBIA
UIB,QUIBDO,COLOMBIA
VVC,VILLAVICENCIO,COLOMBIA
IBE,IBAGUE,COLOMBIA
EJA,BARRANCABERMEJA,COLOMBIA
LMC,LA MACARENA,COLOMBIA
EYP,EL YOPAL,COLOMBIA
LET,LETICIA,COLOMBIA
SMR,SANTA MARTA,COLOMBIA
AKL,AUCKLAND,NUEVA ZELANDA
BPS,PORTO SEGURO,BRASIL
BUE,BUENOS AIRES,ARGENTINA
CNQ,CORRIENTES CAMBAPUNTA,ARGENTINA
COR,CORDOBA,ARGENTINA
CRD,COMODORO,ARGENTINA
CTC,CATAMARCA,ARGENTINA
EQS,CHUBUT,ARGENTINA
IGR,IGUAZU,ARGENTINA
JUJ,JUJUY,ARGENTINA
LUQ,SAN LUIS,ARGENTINA
MDZ,MENDOZA,ARGENTINA
NQN,NEUQUEN,ARGENTINA
PSS,POSADAS,ARGENTINA
REL,TRELEW,ARGENTINA
RES,RESISTENCIA,ARGENTINA
RGA,RIO GRANDE,ARGENTINA
ROS,ROSARIO,ARGENTINA
SFN,SANTA FE,ARGENTINA
SLA,SALTA,ARGENTINA
TUC,TUCUMAN,ARGENTINA
UAQ,SAN JUAN,ARGENTINA
BRC,BARILOCHE,ARGENTINA
MDQ,MAR DE LA PLATA,ARGENTINA
POA,PORTO ALEGRE,BRASIL
VDM,VIEDMA,ARGENTINA
IRJ,LA RIOJA,ARGENTINA
PDP,PUNTA DEL ESTE,URUGUAY
ASU,ASUNCION,PARAGUAY
FLA,FLORENCIA,COLOMBIA
NVA,NEIVA,COLOMBIA
PPN,POPAYAN,COLOMBIA
PSO,PASTO,COLOMBIA
RCH,RIOHACHA,COLOMBIA
RIO,RIO DE JANEIRO,BRASIL
PUU,PUERTO ASIS,COLOMBIA
DAV,DAVID,PANAMA
VLN,VALENCIA,VENEZUELA
ABE,BUENOS AIRES,ARGENTINA
ABR,DAKOTA DEL SUR,ESTADOS UNIDOS
AGS,GEORGIA,ESTADOS UNIDOS
ALB,NEW YORK,ESTADOS UNIDOS
APN,MICHIGAN,ESTADOS UNIDOS
AVL,NORTE DE CAROLINA,ESTADOS UNIDOS
BGR,MAINE,ESTADOS UNIDOS
BOI,IDAHO,ESTADOS UNIDOS
BTV,VERMONT,ESTADOS UNIDOS
BUF,NEW YORK,ESTADOS UNIDOS
BZN,"BOZE,AM",ESTADOS UNIDOS
CAK,OHIO,ESTADOS UNIDOS
CDC,UTAH,ESTADOS UNIDOS
CRW,CHARLESTON,ESTADOS UNIDOS
DAB,SAMANA,REPUBLICA DOMINICANA
DAL,DALLAS,ESTADOS UNIDOS
DLH,DULUTH,ESTADOS UNIDOS
EKO,ELKO,ESTADOS UNIDOS
EWN,NEWBERN,ESTADOS UNIDOS
FAY,FAYETTEVILLE,ESTADOS UNIDOS
GEG,SPOKE INT,ESTADOS UNIDOS
ILM,NORTE DE CAROLINA,ESTADOS UNIDOS
LNK,NEBRASKA,ESTADOS UNIDOS
LSE,LA CROSSE,ESTADOS UNIDOS
MDT,PENSILVANIA,ESTADOS UNIDOS
MDW,CHICAGO,ESTADOS UNIDOS
MHT,MANCHESTER,ESTADOS UNIDOS
MLU,MONROE,ESTADOS UNIDOS
MYR,MYRTLE BEACH,ESTADOS UNIDOS
NGO,CHUBU CENTRA,JAPON
OAJ,JACKSON VILLE,ESTADOS UNIDOS
PHF,WEST VIRGINIA,ESTADOS UNIDOS
PVD,PROVIDENCE,ESTADOS UNIDOS
PWM,PORTLAND,ESTADOS UNIDOS
ROA,ROANOKE,ESTADOS UNIDOS
ROC,ROCHETER,ESTADOS UNIDOS
RST,MINNESOTA,ESTADOS UNIDOS
SRQ,FLORIDA,ESTADOS UNIDOS
TVC,TREVERSE CITY,ESTADOS UNIDOS
TYS,KNOXVILLE,ESTADOS UNIDOS
VLD,VALDOSTA,ESTADOS UNIDOS
ADL,ADELAIDE,AUSTRIA
AZO,MICHIGAN,ESTADOS UNIDOS
BQK,GEORGIA,ESTADOS UNIDOS
EUG,EUGENE,ESTADOS UNIDOS
FNT,FLINT,ESTADOS UNIDOS
HLN,HELENA REGIONAL,ESTADOS UNIDOS
MNL,MANILA,FILIPINAS
OAK,OAKLAND,ESTADOS UNIDOS
TWF,TWIN FALLS,ESTADOS UNIDOS
BGM,NEW YORK,ESTADOS UNIDOS
MBS,SAGINAW,ESTADOS UNIDOS
AVP,PENSILVANIA,ESTADOS UNIDOS
CUZ,CUZCO,PERU
RDM,RED MONP,ESTADOS UNIDOS
SWF,NEW YORK,ESTADOS UNIDOS
DBV,DUBROVICK,CROACIA
KUL,KUALA,MALASIA
KWI,KUWAIT,KUWAIT
VRN,FLORIDA,ESTADOS UNIDOS
AUC,ARAUCA - MUNICIPIO,COLOMBIA
PGT,PUERTO GAITAN,COLOMBIA
TIB,ROLDANILLO,COLOMBIA
HHN,FRANKFURT,ALEMANIA
CPQ,SAO PAULO,BRASIL
MEC,MANTA,ECUADOR
OCC,SAN FRANCISCO DE ORELLANA,ECUADOR
COG,CONDOTO,COLOMBIA
GIR,FLANDES,COLOMBIA
LMA,MAICAO,COLOMBIA
PBO,URIBIA,COLOMBIA
PVA,PROVIDENCIA,COLOMBIA
VGP,VILLA GARZON,COLOMBIA
AGH,AGUACHICA,COLOMBIA
APY,APIAY,COLOMBIA
CGW,CARTAGO,COLOMBIA
VLA,VILLANUEVA - CASANARE,COLOMBIA
CIM,CIMITARRA,COLOMBIA
TAP,LETICIA,COLOMBIA
SJE,SAN JOSE DEL GUAVIARE,COLOMBIA
GRX,GRANADA,ESPANA
LON,LONDRES,INGLATERRA
MIL,MILAN,ITALIA
OVD,ASTURIAS,ESPANA
PNA,PAMPLONA,ESPANA
ROM,ROMA,ITALIA
SVQ,SEVILLA,ESPANA
XRY,JEREZ,ESPANA
PEE,PIURA,PERU
RAK,MARRAKECH,MARRUECOS
STO,ESTOCOLMO,SUECIA
MST,BEEK,HOLANDA
SAW,ESTAMBUL,TURKEY
TFS,TENERIFE,ESPANA
IDA,PUERTO INIRIDA,COLOMBIA
PCR,PUERTO CARRENO,COLOMBIA
MVP,MITU,COLOMBIA
CAY,CAYENNE,GUYANA FRANCESA
GES,CIUDAD DEL ESTE,PARAGUAY
BCT,CURITIBA,BRASIL
ANF,ANTOFAGASTA,CHILE
ARI,ARICA,CHILE
CCP,CONCEPCION,CHILE
FLN,SAO PAULO,BRASIL
IQQ,IQUIQUE,CHILE
LSC,LA SERENA,CHILE
PMC,PUERTO MONTT,CHILE
PUQ,PUNTA AERENAS,CHILE
ZCO,TEMUCO,CHILE
SAO,SAO PAULO,BRASIL
MPN,MOUNT PLEASANT,INGLATERRA
AQP,TRUJILLO,PERU
IQT,IQUITOS,PERU
JUL,JULIACA,PERU
NYC,NEW YORK,ESTADOS UNIDOS
PIU,PIURA,PERU
SRZ,SANTA CRUZ,BOLIVIA
TBP,TUMBES,PERU
TRU,TRUJILLO,PERU
TYL,TALARA,PERU
RLB,LIBERIA,COSTA RICA
RTB,ROATAN,HONDURAS
LIR,ROMA,ITALIA
ACY,ATLANTIC CITY,ESTADOS UNIDOS
PBG,PLATTSBURG,ESTADOS UNIDOS
ACR,ARARACUARA,COLOMBIA
GPI,GUAPI,COLOMBIA
IPI,ALDANA,COLOMBIA
LCH,LA CHORRERA,COLOMBIA
LPD,LA PEDRERA,COLOMBIA
LQM,PUERTO LEGUIZAMO,COLOMBIA
NQU,NUQUI,COLOMBIA
PTL,PITALITO,COLOMBIA
RVE,ARAUCA - MUNICIPIO,COLOMBIA
FOR,FORTALEZA,BRASIL
GYN,GOIANIA,BRASIL
CGB,MARECHAL,BRASIL
JDO,JUAZEIRO DO NORTE,BRASIL
SSA,SALVADOR,BRASIL
PMV,POR LA MAR,VENEZUELA
BLB,BALBOA,PANAMA
STI,SANTIAGO DE LOS CABALLEROS,REPUBLICA DOMINICANA
AEX,ALEXANDRIA,ESTADOS UNIDOS
ESM,TACHINA,ECUADOR
GTK,FLORES,GUATEMALA
AEP,BUENOS AIRES,ARGENTINA
BEL,BELEN VAL,BRASIL
CGR,CAMPO GRANDE,BRASIL
JOI,JOINVILLE,BRASIL
SLZ,SAO LUIS,BRASIL
VIX,VITORIA,BRASIL
KBL,KABUL,AFGHANISTAN
ADB,IZMIR,TURKEY
DLM,SAN CRISTOBAL,REPUBLICA DOMINICANA
PEM,PUERTO MALDONADO,PERU
YYR,GOOSE,CANADA
ALT,OROCUE,COLOMBIA
ARQ,ARAUQUITA,COLOMBIA
CAA,SAN LUIS DE PALENQUE,COLOMBIA
CAR,PUERTO LOPEZ,COLOMBIA
ORC,OROCUE,COLOMBIA
ORO,OROCUE,COLOMBIA
PZA,PAZ DE ARIPORO,COLOMBIA
RAV,CRAVO NORTE,COLOMBIA
RDN,ARAUCA - MUNICIPIO,COLOMBIA
SRO,SANTA ROSALIA,COLOMBIA
TRD,TRINIDAD,COLOMBIA
TRI,TRINIDAD,COLOMBIA
7HG,PAZ DE ARIPORO,COLOMBIA
9AS,TRINIDAD,COLOMBIA
9AZ,SAN LUIS DE PALENQUE,COLOMBIA
9CU,TRINIDAD,COLOMBIA
ORS,OROCUE,COLOMBIA
TDA,TRINIDAD,COLOMBIA
9AI,PAZ DE ARIPORO,COLOMBIA
9CG,PAZ DE ARIPORO,COLOMBIA
9NG,PUERTO LOPEZ,COLOMBIA
9CJ,SAN LUIS DE PALENQUE,COLOMBIA
CRU,CARURU,COLOMBIA
PAL,MEDELLIN,COLOMBIA
SRV,SARAVENA,COLOMBIA
7GV,PAZ DE ARIPORO,COLOMBIA
PCE,PUERTO CARRENO,COLOMBIA
PDR,PAZ DE ARIPORO,COLOMBIA
PZR,PAZ DE ARIPORO,COLOMBIA
LLI,SAN LUIS DE PALENQUE,COLOMBIA
NUC,SAN LUIS DE PALENQUE,COLOMBIA
ORA,OROCUE,COLOMBIA
OOR,OROCUE,COLOMBIA
TDI,TRINIDAD,COLOMBIA
IRH,SAN ALBERTO,COLOMBIA
MLG,MALAGA,COLOMBIA
OCV,OCANA,COLOMBIA
SGL,SAN GIL,COLOMBIA
SVT,SAN VICENTE DE CHUCURI,COLOMBIA
SNL,RIO DE ORO,COLOMBIA
A04,SANTA ROSA DEL SUR,COLOMBIA
GYM,CHIA,COLOMBIA
SBT,SABANA DE TORRES,COLOMBIA
A01,INIRIDA,COLOMBIA
A02,PUERTO INIRIDA,COLOMBIA
MBQ,MITU,COLOMBIA
MDR,MITU,COLOMBIA
MFR,MITU,COLOMBIA
MGU,MITU,COLOMBIA
MIB,MITU,COLOMBIA
MIS,MITU,COLOMBIA
MIT,MITU,COLOMBIA
MKA,MITU,COLOMBIA
MPI,MITU,COLOMBIA
MSI,MITU,COLOMBIA
MSO,MITU,COLOMBIA
MSR,MITU,COLOMBIA
MTC,MITU,COLOMBIA
MTI,MITU,COLOMBIA
MTN,MITU,COLOMBIA
MTS,MITU,COLOMBIA
MUR,MITU,COLOMBIA
MVA,MITU,COLOMBIA
MVI,MITU,COLOMBIA
MYA,MITU,COLOMBIA
MYY,MITU,COLOMBIA
PCA,PACOA,COLOMBIA
TAR,TARAIRA,COLOMBIA
9AJ,MITU,COLOMBIA
9DI,SAN FELIPE,COLOMBIA
MGO,MITU,COLOMBIA
MVU,MITU,COLOMBIA
MAP,MAPIRIPAN,COLOMBIA
MCP,MITU,COLOMBIA
A07,SAN JOSE DEL GUAVIARE,COLOMBIA
MCL,MITU,COLOMBIA
MPU,MITU,COLOMBIA
MSA,MITU,COLOMBIA
MWA,MITU,COLOMBIA
MSN,MITU,COLOMBIA
MWY,MITU,COLOMBIA
SIS,MITU,COLOMBIA
9AK,MITU,COLOMBIA
ARC,YOPAL,COLOMBIA
BMG,GUAINIA (BARRANCO MINAS),COLOMBIA
LEV,LA GAVIOTA,COLOMBIA
MFS,MIRAFLORES - GUAVIARE,COLOMBIA
PGM,PUERTO GAITAN,COLOMBIA
URM,LA URIBE,COLOMBIA
7GS,CUMARIBO,COLOMBIA
GRM,PUERTO CARRENO,COLOMBIA
MTU,SAN MARTIN,COLOMBIA
PUE,PUERTO RICO,COLOMBIA
9DE,LA PRIMAVERA,COLOMBIA
PTC,PUERTO CARRENO,COLOMBIA
7FU,PUERTO GAITAN,COLOMBIA
7IK,SANTA ROSALIA,COLOMBIA
LAM,VILLAVICENCIO,COLOMBIA
SNR,SAN MARTIN,COLOMBIA
7IV,LA PRIMAVERA,COLOMBIA
A06,EL ENCANTO,COLOMBIA
CAO,SANTA RITA - VICHADA,COLOMBIA
7IF,LA PRIMAVERA,COLOMBIA
7HT,PAZ DE ARIPORO,COLOMBIA
7HM,CUMARIBO,COLOMBIA
ULQ,TULUA,COLOMBIA
LCE,LA CEIBA,HONDURAS
MMP,MOMPOS,COLOMBIA
NAR,PUERTO NARE LA MAGDALENA,COLOMBIA
SGU,SAN CARLOS DE GUAROA,COLOMBIA
7GZ,MANI,COLOMBIA
LAH,MANI,COLOMBIA
LOM,MANI,COLOMBIA
SMT,SAN MARTIN,COLOMBIA
CPB,CAPURGANA,COLOMBIA
7ID,YOPAL,COLOMBIA
7IW,TUBARA,COLOMBIA
HCZ,HATO COROZAL,COLOMBIA
NAT,NATAGAIMA,COLOMBIA
7GC,TRINIDAD,COLOMBIA
BUO,YOPAL,COLOMBIA
PUL,FUENTE DE ORO,COLOMBIA
7HV,LA PRIMAVERA,COLOMBIA
PCJ,SAN MARTIN,COLOMBIA
LGT,PUERTO LLERAS,COLOMBIA
PID,PUERTO INIRIDA,COLOMBIA
9BY,OROCUE,COLOMBIA
MIC,MITU,COLOMBIA
PGP,PUERTO GAITAN,COLOMBIA
PLP,PUERTO LOPEZ,COLOMBIA
9AR,MITU,COLOMBIA
9LQ,PUERTO GAITAN,COLOMBIA
MCG,MORICHAL,COLOMBIA
MUT,MUTATA,COLOMBIA
CVN,COVENAS,COLOMBIA
MYN,MANI,COLOMBIA
A09,PUERTO INIRIDA,COLOMBIA
TPI,SAN JOSE DEL GUAVIARE,COLOMBIA
7HX,LA PRIMAVERA,COLOMBIA
ARA,ARAUCA - MUNICIPIO,COLOMBIA
BON,BONAIRE,ANTILLAS HOLANDESAS
LJB,LA JAGUA IBIRICO,COLOMBIA
LLO,LOMA DE CHIRIGUANA,COLOMBIA
MGN,MAGANGUE,COLOMBIA
9NB,LA GLORIA,COLOMBIA
SBD,SABANA DE TORRES,COLOMBIA
BCA,BARRANCAS,COLOMBIA
TBU,TIBU,COLOMBIA
ECC,EL CARMEN DE CHUCURI,COLOMBIA
BSA,BARBOSA - SANTANDER,COLOMBIA
CPL,CHAPARRAL,COLOMBIA
MQU,MARIQUITA,COLOMBIA
QPM,QUIPAMA,COLOMBIA
PMO,PALERMO,COLOMBIA
MAN,MANI,COLOMBIA
7HJ,MANI,COLOMBIA
FDA,FUNDACION,COLOMBIA
SVI,SAN VICENTE DEL CAGUAN,COLOMBIA
MED,MEDINA,COLOMBIA
SNP,LORICA,COLOMBIA
